date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2015-01-31,20150130.0,,,,2.5,,,,,
2015-02-28,20150227.0,,,,2.8,,,,,
2015-03-31,20150327.0,,,,3.0,,,,,
2015-04-30,20150501.0,,,,2.6,,,,,
2015-05-31,20150529.0,,,,2.8,,,,,
2015-06-30,20150626.0,,,,2.7,,,,,
2015-07-31,20150731.0,,,,2.8,,,,,
2015-08-31,20150828.0,,,,2.8,,,,,
2015-09-30,20150925.0,,,,2.8,,,,,
2015-10-31,20151030.0,,,,2.7,,,,,
2015-11-30,20151125.0,,,,2.7,,,,,
2015-12-31,20151223.0,,,,2.6,,,,,
2016-01-31,20160129.0,,,,2.5,,,,,
2016-02-29,20160226.0,,,,2.5,,,,,
2016-03-31,20160401.0,,,,2.7,,,,,
2016-04-30,20160429.0,,,,2.8,,,,,
2016-05-31,20160527.0,,,,2.4,,,,,
2016-06-30,20160624.0,,,,2.6,,,,,
2016-07-31,20160729.0,,,,2.7,,,,,
2016-08-31,20160826.0,,,,2.5,,,,,
2016-09-30,20160930.0,,,,2.4,,,,,
2016-10-31,20161028.0,,,,2.4,,,,,
2016-11-30,20161123.0,,,,2.4,1.0,,,,
2016-12-31,20161223.0,,,,2.2,1.0,,,,
2017-01-31,20170127.0,,,,2.6,1.0,,,,
2017-02-28,20170224.0,,,,2.7,,,,,
2017-03-31,20170331.0,,,,2.5,,,,,
2017-04-30,20170428.0,,,,2.5,,,,,
2017-05-31,20170526.0,,,,2.6,,,,,
2017-06-30,20170630.0,,,,2.6,,,,,
2017-07-31,20170728.0,,,,2.6,,,,,
2017-08-31,20170901.0,,,,2.6,,,,,
2017-09-30,20170929.0,,,,2.7,,,,,
2017-10-31,20171027.0,,,,2.4,,,,,
2017-11-30,20171122.0,,,,2.5,,,,,
2017-12-31,20171222.0,,,,2.7,,,,,
2018-01-31,20180202.0,,,,2.7,,,,,
2018-02-28,20180302.0,,,,2.7,,,,,
2018-03-31,20180329.0,,,,2.8,,,,,
2018-04-30,20180427.0,,,,2.7,,,,,
2018-05-31,20180525.0,,,,2.8,,,,,
2018-06-30,20180629.0,,,,3.0,,,,,
2018-07-31,20180727.0,,,,2.9,,,,,
2018-08-31,20180831.0,,,,3.0,,,,,
2018-09-30,20180928.0,,,,2.7,,,,,
2018-10-31,20181026.0,,,,2.9,,,,,
2018-11-30,20181121.0,,,,2.8,,,,,
2018-12-31,20181221.0,,,,2.7,1.0,,,,
2019-01-31,20190201.0,,,,2.7,1.0,,,,
2019-02-28,20190301.0,,,,2.6,1.0,,,,
2019-03-31,20190329.0,,,,2.5,1.0,,,,
2019-04-30,20190426.0,,,,2.5,1.0,,,,
2019-05-31,20190531.0,,,,2.9,1.0,,,,
